Spanish,English
de,of
que,what
no,do not
a,to
la,the
el,the
amor,love
es,is
en ,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,yes
si,yes
bien,good
eso,that
su,its
las,the
yo,me
del,of
como,as
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,Okay
tengo,I have
él,he
cuando,when
estás,are
sé,he
tú ,your
nos,us
nada,nothing
cómo ,as
este ,East
o ,or
he,I
ser ,to be
tiene,It has
puedo ,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo ,single
todos,everybody
porque ,because
son,are
tienes,have
creo,I think
voy,I go
sabes,know
estaba ,was
puede,can
eres,are
ese,that
usted,you
entonces ,then
hola,Hello
solo ,only
verdad ,true
casa,home
tan ,so
quién ,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,a lot of
mí,my
quieres,you want
siento ,I feel
señor,Mister
mejor,better
hace,make
has,you
decir,tell
también,too
sobre ,on
dios,God
sin ,without
tenemos ,we have
están,is it so
ti,you
puedes ,you can
ver ,watch
hombre,men
vida ,lifetime
alguien,somebody
cosas,things
siempre,forever
hasta,until
ahí,there
ir ,to go
años,years
antes,before
estar,to be
ni,neither
poco,little bit
día,day
uno ,one
noche,night
hecho ,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,We
parece ,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,He said
nadie,no one
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,they
sr. ,Mr.
tal ,such
pasa ,happens
fuera ,out of
después,then
han,they have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,to have
estado,condition
otro,other
había,there were
mañana,morning
tenía,had
madre,mother
vale,okay
lugar ,place
haciendo ,doing
donde,where
seguro ,safe
sabe,knows
podemos,we can
tus ,your
espera,wait
nuevo,new
sido ,been
cosa,thing
hijo,son
allí ,there
menos,less
tipo,kind
amigo,friend
gran,big
nuestro,our
mujer,woman
mamá ,mother
luego,soon
papá,dad
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,Hey
gusta,like
quería,wanted
será ,be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,evil
debe,has to
realmente,Really
estas,these
aún,still
mío,Own
toda,all
hacerlo,do what
cada,every
visto,viewed
importa,matters
contigo,with you
tienen,have